Symbol
HINDALCO.NS
UPL.NS
COALINDIA.NS
HCLTECH.NS
TATASTEEL.NS
TCS.NS
ICICIBANK.NS
WIPRO.NS
RELIANCE.NS
GRASIM.NS
HDFCBANK.NS
ITC.NS
TITAN.NS
BAJAJFINSV.NS
INDUSINDBK.NS
M&M.NS
SBIN.NS
AXISBANK.NS
MARUTI.NS
BAJAJ-AUTO.NS
DRREDDY.NS
ULTRACEMCO.NS
LT.NS
CIPLA.NS
SBILIFE.NS
HINDUNILVR.NS
NESTLEIND.NS
INFY.NS
HDFCLIFE.NS
BAJFINANCE.NS
SUNPHARMA.NS
JSWSTEEL.NS
NTPC.NS
EICHERMOT.NS
KOTAKBANK.NS
TECHM.NS
BRITANNIA.NS
ASIANPAINT.NS
TATACONSUM.NS
TATAMOTORS.NS
HEROMOTOCO.NS
POWERGRID.NS
BHARTIARTL.NS
ONGC.NS
DIVISLAB.NS
APOLLOHOSP.NS
BPCL.NS
ADANIENT.NS
ADANIPORTS.NS
